TextLocalizationId,TextId,LanguageId,Content
1,1,1,My native language
2,1,2,My native language
3,1,3,My native language
4,1,4,My native language
5,1,5,My native language
6,1,6,My native language
7,1,7,ਮੇਰੀ ਮੂਲ ਭਾਸ਼ਾ
8,1,9,My native language
9,3,1,Start
10,3,2,Start
11,3,3,Start
12,3,4,Start
13,3,5,Start
14,3,6,Start
15,3,7,ਸ਼ੁਰੂ ਕਰੋ
16,3,9,Começar
17,4,1,Next question
18,4,2,Question suivante
19,4,3,下一个问题
20,4,4,Próxima pregunta
21,4,5,Следующий вопрос
22,4,6,سوال بعدی
23,4,7,ਅਗਲਾ ਸਵਾਲ
24,4,9,Próxima pergunta
25,5,1,Question
26,5,2,Question
27,5,3,问题
28,5,4,Pregunta
29,5,5,Вопрос
30,5,6,سوال
31,5,7,ਸਵਾਲ
32,5,9,Pergunta
33,6,1,Added to bookmarks
34,6,2,Ajouté aux favoris
35,6,3,添加到书签
36,6,4,Añadido a los marcadores
37,6,5,Добавлен в закладки
38,6,6,به بوک مارک ها اضافه شد
39,6,7,ਬੁੱਕਮਾਰਕਸ ਵਿੱਚ ਜੋੜਿਆ ਗਿਆ
40,6,9,Adicionado aos favoritos
41,7,1,Great job!
42,7,2,Bon travail!
43,7,3,很好！
44,7,4,¡Gran trabajo!
45,7,5,Отличная работа!
46,7,6,کارت عالی بود!
47,7,7,ਮਹਾਨ ਅੱਯੂਬ!
48,7,9,Ótimo trabalho!
49,8,1,You can do better
50,8,2,Tu peux faire mieux
51,8,3,你可以做得更好
52,8,4,Puedes hacerlo mejor
53,8,5,Ты можешь лучше
54,8,6,تو می توانی بهتر از اینها انجام دهی
55,8,7,ਤੁਸੀਂ ਬਿਹਤਰ ਕਰ ਸਕਦੇ ਹੋ
56,8,9,Você pode fazer melhor
57,9,1,Restart
58,9,2,Redémarrer
59,9,3,重新开始
60,9,4,Reiniciar
61,9,5,Повторить
62,9,6,راه اندازی مجدد
63,9,7,ਰੀਸਟਾਰਟ ਕਰੋ
64,9,9,Reiniciar
65,10,1,Review
66,10,2,Examen
67,10,3,审查
68,10,4,Revisar
69,10,5,Обзор
70,10,6,مرور
71,10,7,ਸਮੀਖਿਆ
72,10,9,Análise
73,11,1,Next test
74,11,2,Prochain essai
75,11,3,下一个测试
76,11,4,Próxima prueba
77,11,5,Следующий тест
78,11,6,تست بعدی
79,11,7,ਅਗਲਾ ਟੈਸਟ
80,11,9,Próximo teste
81,12,1,Tests
82,12,2,Essais
83,12,3,测试
84,12,4,Pruebas
85,12,5,Тесты
86,12,6,تست ها
87,12,7,ਟੈਸਟ
88,12,9,Testes
89,13,1,Bookmarks
90,13,2,Signets
91,13,3,书签
92,13,4,Marcadores
93,13,5,Избранное
94,13,6,نشانک ها
95,13,7,ਬੁੱਕਮਾਰਕਸ
96,13,9,Marcadores
97,14,1,My mistakes
98,14,2,Mes erreurs
99,14,3,我的错
100,14,4,Mis errores
101,14,5,Мои ошибки
102,14,6,اشتباهات من
103,14,7,ਮੇਰੀਆਂ ਗਲਤੀਆਂ
104,14,9,Meus erros
105,15,1,Deleting the current question
106,15,2,Suppression de la question en cours
107,15,3,删除当前问题
108,15,4,Eliminar la pregunta actual
109,15,5,Удаление текущего вопроса
110,15,6,حذف سوال فعلی
111,15,7,ਮੌਜੂਦਾ ਸਵਾਲ ਨੂੰ ਮਿਟਾਇਆ ਜਾ ਰਿਹਾ ਹੈ
112,15,9,Excluindo a pergunta atual
113,16,1,Delete this question
114,16,2,Supprimer cette question
115,16,3,删除此问题
116,16,4,Eliminar esta pregunta
117,16,5,Удалить этот вопрос
118,16,6,این سوال را حذف کنید
119,16,7,ਇਸ ਸਵਾਲ ਨੂੰ ਮਿਟਾਓ
120,16,9,Apagar esta pergunta
121,17,1,Delete all questions
122,17,2,Supprimer toutes les questions
123,17,3,删除所有问题
124,17,4,Eliminar todas las preguntas
125,17,5,Удалить все вопросы
126,17,6,تمام سوالات را حذف کنید
127,17,7,ਸਾਰੇ ਸਵਾਲ ਮਿਟਾਓ
128,17,9,Apagar todas as perguntas
